0.001,0.000,0.000,0.000,0.000,0.999,0.000
0.008,0.000,0.000,0.000,0.000,0.992,0.000
0.003,0.000,0.000,0.000,0.000,0.997,0.000
0.000,0.000,0.000,0.000,0.000,1.000,0.000
0.074,0.000,0.000,0.000,0.000,0.926,0.000
0.000,0.000,0.134,0.000,0.000,0.866,0.000
0.000,0.000,0.000,0.000,0.000,1.000,0.000
0.000,0.000,0.000,0.000,0.000,1.000,0.000
0.000,0.000,0.000,0.000,0.000,1.000,0.000
0.002,0.000,0.000,0.000,0.000,0.998,0.000
0.007,0.000,0.000,0.000,0.000,0.993,0.000
0.001,0.000,0.000,0.000,0.000,0.999,0.000
0.007,0.000,0.000,0.000,0.000,0.993,0.000
0.001,0.000,0.000,0.000,0.000,0.999,0.000
0.000,0.000,0.000,0.000,0.000,1.000,0.000
0.000,0.000,0.000,0.000,0.000,1.000,0.000
0.000,0.000,0.000,0.000,0.000,1.000,0.000
0.000,0.000,0.000,0.000,0.000,1.000,0.000
0.000,0.000,0.000,0.000,0.000,1.000,0.000
0.000,0.000,0.000,0.000,0.000,1.000,0.000
0.000,0.000,0.000,0.000,0.000,1.000,0.000
0.000,0.000,0.000,0.000,0.000,1.000,0.000
0.000,0.000,0.000,0.000,0.000,1.000,0.000
0.000,0.000,0.000,0.000,0.000,1.000,0.000
0.000,0.000,0.000,0.000,0.000,1.000,0.000
0.000,0.000,0.000,0.000,0.000,1.000,0.000
0.293,0.000,0.000,0.000,0.000,0.707,0.000
0.103,0.000,0.000,0.000,0.000,0.897,0.000
0.000,0.000,0.000,0.000,0.000,1.000,0.000
0.040,0.000,0.000,0.000,0.000,0.960,0.000
0.040,0.000,0.000,0.000,0.000,0.960,0.000
0.036,0.000,0.000,0.000,0.000,0.964,0.000
0.011,0.000,0.000,0.000,0.000,0.989,0.000
0.011,0.000,0.000,0.000,0.000,0.989,0.000
0.006,0.000,0.000,0.000,0.000,0.994,0.000
0.002,0.000,0.000,0.000,0.000,0.998,0.000
0.001,0.000,0.000,0.000,0.000,0.999,0.000
0.002,0.000,0.000,0.000,0.000,0.998,0.000
0.005,0.000,0.000,0.000,0.000,0.995,0.000
0.003,0.000,0.000,0.000,0.000,0.997,0.000
0.019,0.000,0.000,0.000,0.000,0.981,0.000
0.023,0.000,0.000,0.000,0.000,0.977,0.000
0.021,0.000,0.000,0.000,0.000,0.979,0.000
0.012,0.000,0.000,0.000,0.000,0.988,0.000
0.001,0.000,0.000,0.000,0.000,0.999,0.000
0.003,0.000,0.000,0.000,0.000,0.997,0.000
0.003,0.000,0.000,0.000,0.000,0.997,0.000
0.008,0.000,0.000,0.000,0.000,0.992,0.000
0.020,0.000,0.000,0.000,0.000,0.980,0.000
0.036,0.000,0.000,0.000,0.000,0.964,0.000
0.021,0.000,0.000,0.000,0.000,0.979,0.000
0.021,0.000,0.000,0.000,0.000,0.979,0.000
0.143,0.000,0.000,0.000,0.000,0.857,0.000
0.129,0.000,0.000,0.000,0.000,0.871,0.000
0.129,0.000,0.000,0.000,0.000,0.871,0.000
0.005,0.000,0.000,0.000,0.000,0.995,0.000
0.001,0.000,0.000,0.000,0.000,0.999,0.000
0.001,0.000,0.000,0.000,0.000,0.999,0.000
0.967,0.000,0.000,0.000,0.000,0.033,0.000
0.967,0.000,0.000,0.000,0.000,0.033,0.000
0.494,0.000,0.000,0.000,0.000,0.506,0.000
0.013,0.000,0.000,0.000,0.000,0.987,0.000
0.003,0.000,0.000,0.000,0.000,0.997,0.000
0.003,0.000,0.000,0.000,0.000,0.997,0.000
